semantic_similarity,skill_match_percentage,experience_match_score,education_match_score,certification_match_score,project_relevance_score,programming_language_match,framework_match,tools_match,years_of_experience_difference,number_of_matching_skills,total_candidate_skills,target_candidate_score
0.33167711871162925,0.4,1.0,0.0,0.0,0.442385342895561,0.34232756903078465,0.23958079090168444,0.4826465646007847,0.5146837734714076,4.0,4.0,40.28852431071895
0.6025035299119949,0.2222222222222222,0.0,1.0,0.0,0.507841866483303,0.22553035533177376,0.18755388561566208,0.14115963366414858,2.0,2.0,13.0,38.4194225291627
0.4794188816629016,0.375,1.0,1.0,1.0,0.4104359184856521,0.4272594901598513,0.5678110676093284,0.3370823874771805,1.998348313559978,3.0,11.0,59.15801411484016
0.9289163164530431,0.8,1.0,1.0,1.0,0.8544676065217452,0.7106560704671109,0.57311394535182,0.762909102985539,0.8843473982823014,8.0,8.0,89.98565781078148
0.5715627355176011,0.25,0.9954613825497641,1.0,1.0,0.6769474989316874,0.26333079949146765,0.439726258692126,0.18648731305477223,0.027231704701415005,1.0,8.0,62.66722834527075
0.522404333607446,0.6363636363636364,1.0,1.0,0.0,0.7439018838376263,0.8462128048100249,0.6087269111263243,0.5480740609603941,3.35553272718332,7.0,14.0,63.47485913344652
0.4398012238875901,0.3,0.6573887890288947,0.0,0.0,0.5597502565184455,0.205934379003461,0.7617622699891411,0.4524393205873612,2.0556672658266315,3.0,4.0,39.89953682083082
0.6002388384739146,0.5714285714285714,1.0,0.0,0.0,0.409453919344769,0.6214445970020263,0.5915713659901636,0.21728136563328287,4.088072630729773,4.0,12.0,55.57135767786138
0.7609341617761505,0.5555555555555556,1.0,1.0,0.0,0.5209949855829024,0.7331275948536234,0.4842334702371172,0.8704115273558083,0.7554534427310688,5.0,5.0,71.54715225183402
0.42393069703262526,0.14285714285714285,1.0,1.0,0.0,0.4464233937500193,0.044453254070848866,0.21929438282266117,0.16996303549774228,1.4350363570057967,1.0,4.0,45.09906537511963
0.5211551145315751,0.4,1.0,1.0,1.0,0.5304115966091839,0.6471744826706921,0.2758278276648138,0.522003515197303,0.00991177093945872,2.0,9.0,67.45067526226494
0.4760144495482031,0.4,0.366463543738335,0.0,1.0,0.4544369229968936,0.46311902634803814,0.0,0.5450155566297752,2.53414582504666,4.0,15.0,38.16673070991221
0.5939331556974433,0.6,1.0,1.0,1.0,0.8459087037584294,0.6202779385989279,0.4970853416603584,0.4583881679938857,0.5207802030684405,3.0,12.0,69.80296236996894
0.4565510502813989,0.0,1.0,1.0,1.0,0.41815119100716647,0.0,0.0,0.0,1.469489813785585,0.0,12.0,50.16720918052579
0.5861589278099826,0.5714285714285714,1.0,1.0,0.0,0.6717181893145333,0.5541783318661462,0.1711187301076128,0.36497471449780594,2.152450892805188,4.0,12.0,64.32203990652718
0.5026003274442191,0.5,1.0,1.0,0.0,0.6697174130637121,0.6168866349061546,0.4339322582452116,0.4505863940342823,0.40393360312219695,5.0,13.0,58.80893419858763
0.6489258067930243,0.8333333333333334,0.4024867195985273,0.0,1.0,0.7069449603508895,1.0,0.328569083919266,0.9731742716435392,3.5850796824088365,5.0,9.0,63.52264200014007
0.5192624672539462,0.5714285714285714,0.5433354621669497,1.0,1.0,0.8874527132709029,0.7236486191686617,0.44493746769436593,0.45467616638440655,2.283322689165251,4.0,4.0,63.2361013492671
0.2984151471415349,0.3333333333333333,1.0,1.0,0.0,0.30477547325473964,0.5860522550534362,0.3369244515831612,0.4549196613689943,4.904039247526587,1.0,13.0,49.11692784211888
